State,City,percent_completed_hs,poverty_rate,Median Income
AL,White Hall town,66.6,42.7,18462
AL,White Plains CDP,95.7,5,55781
AL,Whitesboro CDP,84.4,25.2,36736
AL,Wilsonville town,88,20.3,43456
AL,Wilton town,84.6,12,39750
AL,Winfield city,86.8,13.3,40654
AL,Woodland town,86.4,26.6,34205
AL,Woodstock town,89.5,13.5,54519
AL,Woodville town,77.7,25.9,34444
AL,Yellow Bluff town,62,44.1,16786
AL,York city,77.1,46.8,17399
AK,Adak city,93.4,39.3,78500
AK,Akhiok city,62.5,40.5,26250
AK,Akiachak CDP,76.7,26.1,38750
AK,Akiak city,81.3,31.3,42000
AK,Akutan city,73,16.1,24750
AK,Alakanuk city,65.4,44.6,32917
AK,Alatna CDP,100,0,-
AK,Alcan Border CDP,100,0,-
AK,Aleknagik city,84,11.6,41875
AK,Aleneva CDP,0,0,-
AK,Allakaket city,72.9,9.1,26500
AK,Ambler city,78.7,21.4,42344
AK,Anaktuvuk Pass city,80.9,26.3,66250
AK,Anchorage municipality,93,8.2,78326
AK,Anchor Point CDP,93.8,10.1,51591
AK,Anderson city,98.6,0,87708
AK,Angoon city,86.7,17.8,32750
AK,Aniak city,83.8,19,60500
AK,Anvik city,94.2,16.3,26563
AK,Arctic Village CDP,75,36.6,26250
AK,Atka city,89.5,1.5,50625
AK,Atmautluak CDP,70.2,25.6,50625
AK,Atqasuk city,75.9,23.3,52500
AK,Attu Station CDP,100,-,-
AK,Badger CDP,96.2,4.5,75917
AK,Barrow city,84.6,11.7,76902
AK,Bear Creek CDP,92.5,12.7,81458
AK,Beaver CDP,69.8,30,24000
AK,Beluga CDP,66.7,33.3,(X)
AK,Bethel city,85.8,11.4,76135
AK,Bettles city,100,0,50000
AK,Big Delta CDP,97.6,13,65417
AK,Big Lake CDP,90.4,9.6,70988
AK,Birch Creek CDP,0,100,-
AK,Brevig Mission city,78,57.6,32344
AK,Buckland city,86.2,24.4,60357
AK,Buffalo Soapstone CDP,90.4,4.6,68333
AK,Butte CDP,94.3,9.6,81875
AK,Cantwell CDP,95,9.1,56000
AK,Central CDP,82.2,5.2,(X)
AK,Chalkyitsik CDP,88.7,36.6,29375
AK,Chase CDP,65.2,0,-
AK,Chefornak city,74.3,18.4,55625
AK,Chena Ridge CDP,96.5,4.9,93532
AK,Chenega CDP,100,34.8,(X)
AK,Chevak city,82.8,32.8,41136
AK,Chickaloon CDP,91.7,13.5,40893
AK,Chicken CDP,-,-,-
